Server,Scan_ParsedFaction,Row,Column
2972,1718,10,29
3466,2687,24,7
485,2687,25,8
1272,372,25,28
2879,1329,9,8
5047,1718,9,28
2599,3535,8,27
3409,1679,26,27
3508,2687,26,9
5044,1329,8,9
1258,1679,27,26
2244,2244,27,10
2763,1329,7,10
4089,3535,7,26
875,2216,6,25
2243,2681,28,25
2358,2820,6,11
2588,3200,28,11
15,0,29,12
247,2216,5,24
3341,2197,5,12
3539,2681,29,24
1446,1446,30,13
1677,1677,4,23
2371,3453,30,23
4081,2197,4,13
1499,1677,3,22
2044,2197,3,14
2112,2112,31,14
2589,3453,31,22
154,154,2,21
948,948,32,15
1709,3453,32,21
2091,2091,2,15
859,2274,1,20
1640,1640,1,16
1703,1640,33,16
2845,3453,33,20
835,835,34,19
2576,1640,34,17
2532,3384,15,1
2796,674,19,1
610,3384,14,2
3117,674,20,2
4010,3384,14,34
4029,674,20,34
9,0,21,33
2118,2118,13,3
2587,1547,13,33
4032,674,21,3
869,869,12,4
1336,1336,22,4
1680,1680,22,32
1835,1547,12,32
814,2687,23,5
1716,2974,11,5
4038,1070,23,31
4104,1720,11,31
608,2687,24,6
2234,2345,10,6
2502,3198,10,30
2643,1970,24,30
11,0,25,7
1571,1329,9,7
1611,1718,9,29
4045,1070,25,29
901,1718,8,28
2731,1329,8,8
2924,2578,26,28
4049,2687,26,8
1417,1679,27,27
1985,3535,7,27
2372,889,27,9
2761,1329,7,9
1751,2325,28,26
2798,2699,6,10
3535,3535,6,26
4051,3200,28,10
16,0,29,25
3352,1446,29,11
5039,2699,5,11
5041,5041,5,25
348,2216,4,24
1825,3200,30,12
3221,2197,4,12
3276,2325,30,24
1676,2112,31,13
2616,2197,3,13
3118,2651,31,23
3279,2216,3,23
18,0,32,14
2501,2216,2,22
2609,2197,2,14
4063,3453,32,22
817,1640,33,15
3222,3222,33,21
4073,2216,1,21
5034,2197,1,15
2689,835,34,20
2951,1640,34,16
674,674,20,1
2445,3384,14,1
736,736,21,34
1619,674,21,2
2240,1547,13,34
2698,3384,13,2
1796,674,22,3
1924,1924,12,3
2586,3036,22,33
3528,1547,12,33
10,0,23,4
1528,869,11,4
2921,1970,23,32
3225,1720,11,32
701,701,10,5
1070,1070,24,31
1774,2684,24,5
3002,3198,10,31
630,630,9,30
1317,1329,9,6
2578,2578,25,30
2783,2687,25,6
1579,2687,26,7
1938,630,8,29
2913,2578,26,29
4094,1329,8,7
682,3535,7,28
1329,1329,7,8
2513,2687,27,8
2844,2844,27,28
1226,1226,28,9
1454,2325,28,27
1989,2699,6,9
3507,3535,6,27
651,2699,5,10
1279,2325,29,26
2566,2566,29,10
3088,2216,5,26
659,659,4,11
2315,2216,4,25
3306,2325,30,25
3525,3525,30,11
611,3525,31,12
1195,1195,31,24
1365,1365,3,12
3605,2216,3,24
926,2197,2,13
2001,2216,2,23
2006,2112,32,13
2567,2651,32,23
1472,2112,33,14
2116,2651,33,22
2270,2197,1,14
3040,2216,1,22
1552,1640,34,15
2387,2387,34,21
1314,674,21,1
6001,3384,13,1
158,1547,12,34
1008,674,22,2
2953,1251,22,34
3309,1720,12,2
1297,1547,11,33
2471,1251,23,33
2865,1720,11,3
2987,383,23,3
293,293,10,4
2219,1070,24,32
2684,2684,24,4
2828,1720,10,32
13,0,25,31
553,2472,25,5
1964,3198,9,31
5049,1329,9,5
2158,2578,26,30
2342,2345,8,6
2472,2472,26,6
4093,1508,8,30
985,836,7,29
1409,1329,7,7
2634,2844,27,29
2975,889,27,7
1307,2699,6,8
2912,889,28,8
3145,836,6,28
3620,2844,28,28
193,836,5,27
1821,2566,29,9
3090,2325,29,27
3437,2699,5,9
2402,2325,30,26
2682,2682,4,10
2914,3525,30,10
6008,2216,4,26
831,2325,31,25
1020,1020,3,11
4059,3525,31,11
4078,2216,3,25
444,1173,32,12
601,2216,2,24
1801,1801,2,12
4064,2651,32,24
741,741,1,13
2598,1173,33,13
2651,2651,33,23
5035,5035,1,23
841,1640,34,14
1569,1569,34,22
135,674,22,1
850,1720,12,1
742,1508,11,34
1697,1251,23,34
4039,383,23,2
4105,1720,11,2
1111,1508,10,33
1869,770,24,33
3143,1720,10,3
3196,383,24,3
529,770,25,32
2621,383,25,4
3017,1508,9,32
4098,2345,9,4
1408,2472,26,5
1585,2345,8,5
2492,1508,8,31
2863,770,26,31
889,889,27,6
2254,770,27,30
2345,2345,7,6
3037,1508,7,30
567,567,28,29
1732,836,6,29
2200,889,28,7
2607,2607,6,7
997,836,5,28
1671,1671,29,8
2699,2699,5,8
4054,2325,29,28
172,836,4,27
2325,2325,30,27
3524,3524,4,9
5028,3525,30,9
646,2861,31,10
935,341,3,10
1692,2216,3,26
2313,2325,31,26
2216,2216,2,25
3538,341,2,11
5029,1173,32,11
5031,2216,32,25
653,2216,1,24
2299,2299,33,24
3004,3004,1,12
3604,1173,33,12
3039,2216,34,23
4068,1640,34,13
1720,1720,11,1
2443,383,23,1
972,1720,10,2
1251,1251,24,34
1772,383,24,2
4101,1508,10,34
1331,770,25,33
2388,1508,9,33
2590,383,25,3
2819,2819,9,3
1465,770,26,32
1626,1508,8,32
2142,2345,8,4
4048,2287,26,4
1371,1508,7,31
3324,2345,7,5
