Server,Scan_ParsedFaction,Row,Column
2473,3384,17,34
4020,3384,17,2
1052,3384,16,33
1067,3384,16,3
2748,3384,18,3
3374,3374,18,33
1664,3384,19,4
1981,1981,15,32
2010,3384,15,4
2600,1756,19,32
962,3384,14,5
984,984,14,31
5014,1756,20,31
5015,5015,20,5
1232,1232,13,30
3260,1756,21,30
3400,3400,13,6
3522,2687,21,6
1507,3198,12,29
1567,2687,22,7
1781,148,22,29
3618,3618,12,7
805,1756,23,28
1399,1718,11,28
2687,2687,23,8
4106,524,11,8
685,1718,10,27
1011,148,24,27
2495,524,10,9
4041,2687,24,9
1357,148,25,26
1406,2687,25,10
1542,1542,9,26
3510,524,9,10
1725,1725,8,25
2746,148,26,25
3087,2687,26,11
3199,524,8,11
435,435,7,24
2289,2289,27,24
3200,3200,27,12
4088,4088,7,12
1566,3200,28,13
2078,2197,6,13
3258,3258,6,23
4053,4053,28,23
1221,1221,5,22
1423,2197,5,14
2189,3200,29,14
3116,3453,29,22
2579,2579,30,15
3003,1313,4,15
3120,3453,30,21
3526,1313,4,21
622,1313,3,20
1484,1484,31,16
3534,1313,3,16
4060,3453,31,20
1527,3453,32,17
1563,1313,2,19
2037,1313,2,17
5030,5030,32,19
2169,3453,33,18
2464,1313,1,18
1400,3384,17,1
1287,3384,18,34
1708,3384,16,34
1854,3384,18,2
3384,3384,16,2
1428,3384,15,3
1867,3384,15,33
2157,674,19,33
4026,3384,19,3
868,1756,20,32
1073,1073,20,4
1826,1826,14,32
2617,3384,14,4
1477,1477,21,5
1618,3384,13,5
2029,1756,21,31
4005,4005,13,31
1803,2687,22,6
2119,1756,22,30
2764,2764,12,6
3144,3198,12,30
521,148,23,29
2043,524,11,7
3198,3198,11,29
4040,2687,23,7
466,2687,24,8
2195,524,10,8
4100,1718,10,28
5018,148,24,28
372,148,25,27
1625,2687,25,9
1718,1718,9,27
4095,1329,9,9
252,1329,8,10
1517,2687,26,10
2631,2631,8,26
4046,148,26,26
1799,524,7,11
3019,2216,7,25
5020,3200,27,11
5022,5022,27,25
520,2216,6,24
2782,2782,28,24
2820,2197,6,12
3454,3200,28,12
2596,2216,5,23
3396,2197,5,13
3494,3200,29,13
5026,3453,29,23
626,3453,30,22
2197,2197,4,14
3399,1313,4,22
4058,4058,30,14
3,0,3,21
703,2112,31,15
1373,3453,31,21
1510,1313,3,15
1663,3453,32,20
2274,1313,2,20
2922,2922,32,16
4075,1313,2,16
1112,1313,1,19
1779,1313,1,17
3170,3453,33,19
4067,4067,33,17
1343,1313,34,18
959,3384,18,1
5010,3384,16,1
2087,3384,15,34
2185,3384,15,2
2971,3384,19,2
3351,674,19,34
1547,3384,14,33
2503,3384,20,3
3036,1756,20,33
3307,3384,14,3
1515,1515,13,32
2272,2272,21,4
2800,2800,13,4
3382,1756,21,32
2642,1756,22,31
3142,2687,22,5
5004,5004,12,31
5005,5005,12,5
531,2687,23,6
1432,3198,11,30
2344,1756,23,30
2974,2974,11,6
1029,148,24,29
1165,1329,10,7
2972,1718,10,29
3466,2687,24,7
485,2687,25,8
1272,148,25,28
2879,1329,9,8
5047,1718,9,28
2599,2599,8,27
3409,148,26,27
3508,2687,26,9
5044,1329,8,9
1258,148,27,26
2244,3200,27,10
2763,1329,7,10
4089,4089,7,26
875,2216,6,25
2243,2243,28,25
2358,2699,6,11
2588,3200,28,11
15,0,29,12
247,2216,5,24
3341,2699,5,12
3539,3453,29,24
1446,1446,30,13
1677,2216,4,23
2371,3453,30,23
4081,2197,4,13
1499,2216,3,22
2044,2197,3,14
2112,2112,31,14
2589,3453,31,22
154,2216,2,21
948,948,32,15
1709,3453,32,21
2091,1313,2,15
859,2216,1,20
1640,1313,1,16
1703,1703,33,16
2845,3453,33,20
835,3453,34,19
2576,2576,34,17
2532,3384,15,1
2796,3384,19,1
610,3384,14,2
3117,3384,20,2
4010,3384,14,34
4029,674,20,34
9,0,21,33
2118,3384,13,3
2587,2587,13,33
4032,674,21,3
869,1924,12,4
1336,674,22,4
1680,1680,22,32
1835,1835,12,32
814,2687,23,5
1716,2974,11,5
4038,4038,23,31
4104,4104,11,31
608,2687,24,6
2234,1329,10,6
2502,3198,10,30
2643,2643,24,30
11,0,25,7
1571,1329,9,7
1611,1718,9,29
4045,4045,25,29
901,1718,8,28
2731,1329,8,8
2924,2924,26,28
4049,2687,26,8
1417,1417,27,27
1985,1985,7,27
2372,2687,27,9
2761,1329,7,9
1751,2325,28,26
2798,2699,6,10
3535,2216,6,26
4051,3200,28,10
16,0,29,25
3352,3200,29,11
5039,2699,5,11
5041,5041,5,25
348,2216,4,24
1825,3200,30,12
3221,2197,4,12
3276,3453,30,24
1676,2112,31,13
2616,2197,3,13
3118,3453,31,23
3279,2216,3,23
18,0,32,14
2501,2216,2,22
2609,2197,2,14
4063,3453,32,22
817,817,33,15
3222,3453,33,21
4073,2216,1,21
5034,2197,1,15
2689,3453,34,20
2951,2951,34,16
674,674,20,1
2445,3384,14,1
736,674,21,34
1619,674,21,2
2240,3384,13,34
2698,3384,13,2
1796,674,22,3
1924,1924,12,3
2586,2586,22,33
3528,3528,12,33
10,0,23,4
1528,1528,11,4
2921,2921,23,32
3225,3225,11,32
701,1329,10,5
1070,770,24,31
1774,2687,24,5
3002,3198,10,31
630,1508,9,30
1317,1329,9,6
2578,770,25,30
2783,2687,25,6
1579,2687,26,7
1938,1508,8,29
2913,2844,26,29
4094,1329,8,7
682,836,7,28
1329,1329,7,8
2513,2687,27,8
2844,2844,27,28
1226,3200,28,9
1454,2325,28,27
1989,2699,6,9
3507,836,6,27
651,2699,5,10
1279,2325,29,26
2566,3200,29,10
3088,2216,5,26
659,2699,4,11
2315,2216,4,25
3306,2325,30,25
3525,3200,30,11
611,3200,31,12
1195,1195,31,24
1365,2197,3,12
3605,2216,3,24
926,2197,2,13
2001,2216,2,23
2006,2112,32,13
2567,3453,32,23
1472,2112,33,14
2116,3453,33,22
2270,2197,1,14
3040,2216,1,22
1552,2197,34,15
2387,2216,34,21
1314,674,21,1
6001,3384,13,1
158,1508,12,34
1008,674,22,2
2953,674,22,34
3309,3384,12,2
1297,1508,11,33
2471,770,23,33
2865,2865,11,3
2987,2687,23,3
293,293,10,4
2219,770,24,32
2684,2684,24,4
2828,1508,10,32
13,0,25,31
553,2687,25,5
1964,1508,9,31
5049,1329,9,5
2158,770,26,30
2342,1329,8,6
2472,2687,26,6
4093,1508,8,30
985,1508,7,29
1409,1329,7,7
2634,770,27,29
2975,2687,27,7
1307,2699,6,8
2912,2687,28,8
3145,836,6,28
3620,2844,28,28
193,2216,5,27
1821,1821,29,9
3090,2325,29,27
3437,2699,5,9
2402,2325,30,26
2682,341,4,10
2914,2914,30,10
6008,2216,4,26
831,2216,31,25
1020,341,3,11
4059,4059,31,11
4078,2216,3,25
444,444,32,12
601,2216,2,24
1801,341,2,12
4064,4064,32,24
741,2197,1,13
2598,2598,33,13
2651,2216,33,23
5035,5035,1,23
841,2197,34,14
1569,2216,34,22
135,674,22,1
850,3384,12,1
742,1508,11,34
1697,1697,23,34
4039,4039,23,2
4105,4105,11,2
1111,1508,10,33
1869,770,24,33
3143,3143,10,3
3196,3196,24,3
529,770,25,32
2621,2287,25,4
3017,1508,9,32
4098,4098,9,4
1408,2287,26,5
1585,1329,8,5
2492,1508,8,31
2863,770,26,31
889,2287,27,6
2254,770,27,30
2345,1329,7,6
3037,1508,7,30
567,567,28,29
1732,836,6,29
2200,2287,28,7
2607,2699,6,7
997,836,5,28
1671,2287,29,8
2699,2699,5,8
4054,2325,29,28
172,2216,4,27
2325,2325,30,27
3524,341,4,9
5028,5028,30,9
646,646,31,10
935,341,3,10
1692,2216,3,26
2313,2325,31,26
2216,2216,2,25
3538,341,2,11
5029,5029,32,11
5031,2216,32,25
653,2216,1,24
2299,2216,33,24
3004,341,1,12
3604,3604,33,12
3039,2216,34,23
4068,4068,34,13
1720,1508,11,1
2443,674,23,1
972,1508,10,2
1251,770,24,34
1772,1772,24,2
4101,1508,10,34
1331,770,25,33
2388,1508,9,33
2590,2287,25,3
2819,1508,9,3
1465,770,26,32
1626,1508,8,32
2142,2142,8,4
4048,2287,26,4
1371,1508,7,31
3324,2699,7,5
5023,770,27,31
5024,2287,27,5
459,2699,6,6
968,770,28,30
3141,1508,6,30
3479,2287,28,6
949,2287,29,7
3424,2699,5,7
3521,3521,29,29
4083,836,5,29
17,0,30,8
1865,836,4,28
2697,341,4,8
2911,2325,30,28
2861,341,31,9
3410,341,3,9
3616,2216,3,27
4061,4061,31,27
1065,341,32,10
1687,2216,2,26
2826,2216,32,26
4074,341,2,10
369,2216,1,25
596,341,1,11
1425,341,33,11
2954,2216,33,25
1977,2216,34,24
2041,2041,34,12
